Date,Open,High,Low,Close,Adj Close,Volume
2023-05-15,325.510010,327.029999,323.959991,326.790009,326.790009,33375600
2023-05-16,326.059998,328.899994,326.019989,327.160004,327.160004,40019200
2023-05-17,328.239990,331.709991,327.040009,331.119995,331.119995,47486100
2023-05-18,331.519989,337.489990,331.500000,337.269989,337.269989,64213500
