Date,Open,High,Low,Close,Adj Close,Volume
1999-03-08,51.125000,51.734375,49.656250,50.062500,42.979866,23664200
1999-03-15,50.437500,53.250000,49.906250,51.218750,43.972530,27248600
1999-03-22,51.437500,52.468750,48.500000,51.750000,44.428623,40824200
1999-03-29,52.375000,54.187500,52.062500,53.562500,45.984718,27026800
1999-04-05,54.429688,56.250000,53.812500,55.812500,47.916382,38042400
1999-04-12,54.500000,55.906250,51.125000,51.968750,44.616428,77074600
1999-04-19,52.312500,55.718750,48.843750,55.312500,47.487118,68509600
1999-04-26,55.687500,57.281250,51.812500,53.718750,46.118847,64024000
1999-05-03,53.562500,54.375000,51.031250,52.968750,45.474949,70784600
1999-05-10,53.312500,56.000000,52.687500,53.406250,45.850563,53981800
1999-05-17,52.937500,54.992188,52.414063,52.875000,45.394466,44116000
1999-05-24,52.968750,53.062500,48.937500,52.031250,44.670101,90417600
1999-05-31,51.937500,52.742188,49.570313,52.562500,45.126175,43091800
1999-06-07,52.929688,54.031250,51.312500,51.781250,44.455448,53971000
1999-06-14,51.968750,55.218750,50.687500,55.062500,47.272488,60015800
1999-06-21,55.437500,57.093750,54.187500,54.687500,46.950535,54659400
1999-06-28,55.156250,59.937500,54.703125,58.750000,50.438293,46258800
1999-07-05,59.062500,59.906250,57.937500,59.843750,51.377316,34746600
1999-07-12,60.062500,61.718750,58.781250,61.375000,52.691925,32409200
1999-07-19,61.625000,61.625000,56.687500,57.281250,49.177330,59914200
1999-07-26,56.500000,58.437500,55.781250,56.593750,48.587109,58595800
1999-08-02,56.687500,57.812500,53.750000,55.328125,47.500534,66962400
1999-08-09,55.531250,57.718750,52.937500,57.656250,49.499287,64909600
1999-08-16,57.625000,58.843750,56.695313,57.968750,49.767590,46992800
1999-08-23,58.500000,61.750000,58.367188,59.875000,51.404133,54283800
1999-08-30,60.125000,62.679688,58.125000,62.656250,53.791893,64262600
1999-09-06,62.531250,63.742188,61.031250,63.125000,54.194351,46241000
1999-09-13,63.062500,63.492188,60.195313,63.312500,54.355324,63236800
1999-09-20,63.500000,63.750000,58.625000,60.078125,51.578526,74231600
1999-09-27,60.937500,61.375000,58.750000,60.210938,51.692547,85999400
1999-10-04,60.531250,63.937500,60.187500,63.757813,54.737625,95595600
1999-10-11,63.937500,64.953125,59.507813,59.875000,51.404133,111602800
1999-10-18,59.937500,63.250000,57.414063,61.968750,53.201668,112902600
1999-10-25,61.687500,66.250000,60.445313,65.750000,56.447968,75726800
1999-11-01,65.750000,69.218750,65.195313,68.187500,58.540623,76452400
1999-11-08,68.437500,72.250000,68.218750,72.187500,61.974697,89229600
1999-11-15,72.250000,75.906250,71.687500,75.781250,65.060074,87397200
1999-11-22,75.937500,78.781250,74.250000,77.687500,66.696617,69552400
1999-11-29,77.531250,80.187500,73.500000,79.125000,67.930725,106067200
1999-12-06,79.429688,80.500000,77.250000,79.906250,68.601418,107852200
1999-12-13,79.632813,84.875000,77.937500,83.781250,71.928238,126878600
1999-12-20,84.406250,90.750000,83.687500,90.218750,77.455002,81253000
1999-12-27,90.312500,93.750000,87.906250,91.375000,78.447647,87492200
2000-01-03,96.187500,96.187500,79.750000,90.000000,77.267189,177901400
2000-01-10,91.000000,93.937500,86.000000,93.375000,80.164696,138336000
2000-01-17,92.062500,96.875000,91.437500,96.250000,82.632950,80414600
2000-01-24,97.437500,97.625000,84.750000,86.000000,73.833069,150765200
2000-01-31,85.875000,98.242188,83.500000,97.156250,83.410995,145821200
2000-02-07,97.250000,102.875000,96.250000,99.875000,85.745079,118236200
2000-02-14,99.992188,103.250000,95.875000,98.437500,84.510979,134049400
2000-02-21,99.000000,107.500000,96.250000,104.062500,89.340202,150882800
2000-02-28,103.250000,111.125000,100.500000,111.062500,95.349831,151419600
2000-03-06,111.750000,116.437500,106.281250,114.500000,98.301048,166104000
2000-03-13,110.000000,114.125000,101.000000,110.812500,95.135239,214558200
2000-03-20,111.000000,120.500000,103.562500,117.562500,100.930260,120262900
2000-03-27,118.000000,119.500000,103.500000,109.500000,94.008392,130957000
2000-04-03,107.765625,109.125000,88.312500,106.625000,91.540176,186541200
2000-04-10,107.625000,107.687500,78.000000,80.375000,69.003860,203491500
2000-04-17,78.015625,93.625000,78.000000,87.250000,74.906273,140997500
2000-04-24,83.437500,94.750000,79.875000,94.750000,81.345169,147381200
2000-05-01,95.750000,96.875000,85.515625,91.437500,78.501312,108425200
2000-05-08,90.500000,90.750000,79.500000,84.625000,72.652634,111118000
2000-05-15,84.812500,91.500000,81.312500,81.687500,70.130699,109290100
2000-05-22,81.625000,82.625000,72.250000,77.750000,66.750259,173090200
2000-05-29,80.000000,93.937500,80.000000,93.625000,80.379303,121936500
2000-06-05,92.250000,95.312500,89.562500,93.750000,80.486649,105837600
2000-06-12,94.312500,95.312500,89.359375,94.250000,80.915886,101958300
2000-06-19,94.015625,99.718750,91.375000,91.500000,78.554947,108326200
2000-06-26,93.062500,95.500000,90.625000,93.437500,80.218346,92723900
2000-07-03,93.500000,97.000000,90.062500,95.937500,82.364670,61898900
2000-07-10,94.687500,101.125000,92.812500,100.625000,86.389000,82072700
2000-07-17,100.937500,102.062500,95.656250,97.000000,83.276810,89585600
2000-07-24,97.937500,99.000000,86.000000,86.875000,74.584305,120591000
2000-07-31,87.625000,92.765625,83.312500,90.125000,77.374496,125098000
2000-08-07,90.875000,94.437500,87.875000,91.062500,78.179367,84972200
2000-08-14,91.375000,96.625000,90.203125,95.250000,81.774422,71074000
2000-08-21,96.000000,99.953125,93.828125,98.031250,84.162186,75167100
2000-08-28,98.250000,103.515625,97.765625,102.625000,88.106049,63682900
2000-09-04,101.625000,101.750000,94.765625,95.125000,81.667099,77458100
2000-09-11,94.500000,96.125000,90.000000,91.312500,78.393982,139221100
2000-09-18,91.812500,95.234375,87.000000,92.937500,79.789085,148651900
2000-09-25,93.625000,94.250000,88.000000,88.750000,76.194008,131303700
2000-10-02,90.250000,90.250000,81.250000,83.000000,71.257553,158150400
